iter	Passed	Remaining
0	2	292
1	5	280
2	8	271
3	10	250
4	12	246
5	15	248
6	18	249
7	21	242
8	23	235
9	26	241
10	29	240
11	32	238
12	35	237
13	38	235
14	41	235
15	44	234
16	47	232
17	50	231
18	53	227
19	56	227
20	59	223
21	62	220
22	65	217
23	67	213
24	70	212
25	73	209
26	76	206
27	79	203
28	82	201
29	85	198
30	88	196
31	90	192
32	93	189
33	96	186
34	99	185
35	102	182
36	105	179
37	108	176
38	111	173
39	114	171
40	116	168
41	118	163
42	120	160
43	124	158
44	127	156
45	140	164
46	146	165
47	153	166
48	156	163
49	160	160
50	167	160
51	170	157
52	173	154
53	178	152
54	181	148
55	184	145
56	188	142
57	191	138
58	195	135
59	199	132
60	206	132
61	213	130
62	218	128
63	223	125
64	226	122
65	231	119
66	234	115
67	237	111
68	241	108
69	244	104
70	248	101
71	253	98
72	259	95
73	263	92
74	267	89
75	271	85
76	275	82
77	279	78
78	283	75
79	288	72
80	291	68
81	295	64
82	300	61
83	305	58
84	308	54
85	314	51
86	318	47
87	321	43
88	326	40
89	330	36
90	335	33
91	340	29
92	343	25
93	348	22
94	353	18
95	357	14
96	361	11
97	366	7
98	370	3
99	373	0
